Row Labels	Day 5- 23C (Silo 9)/sum*100	Day 5- 29C (Silo 8)/sum*100	Day 8- 23C (Silo 9)/sum*100	Day 8- 29C (Silo 8)/sum*100
CGI_10014715	18	30	25	26
CGI_10028436	10	36	23	31
CGI_10005509	6	40	14	40
CGI_10007222	27	25	27	21
CGI_10028301	8	31	28	33
CGI_10023578	7	36	18	39
CGI_10028359	5	43	13	39
CGI_10026893	13	37	17	34
CGI_10024151	13	33	17	37
CGI_10015804	22	27	26	25
CGI_10008551	10	36	19	35
CGI_10008933	9	37	22	32
CGI_10022530	14	36	24	26
CGI_10021688	9	29	20	42
CGI_10004060	12	32	18	39
CGI_10011253	17	32	25	26
CGI_10023724	19	30	22	28
CGI_10002661	11	30	28	31
CGI_10022651	12	33	25	30
CGI_10015156	15	30	24	32
CGI_10004435	15	8	9	67
CGI_10019410	7	30	15	48
CGI_10011426	4	4	38	54
CGI_10023684	11	31	23	35
CGI_10014861	14	34	21	31
CGI_10002180	2	27	16	56
CGI_10001718	21	27	21	31
CGI_10023359	39	2	58	0
CGI_10021888	5	41	7	47
CGI_10025924	5	70	9	16
CGI_10011108	10	37	23	30
CGI_10002862	9	39	18	35
CGI_10011327	18	17	28	38
CGI_10012614	6	37	15	42
CGI_10014624	17	29	24	30
CGI_10002671	10	34	20	35
CGI_10012736	5	38	19	38
CGI_10008152	23	25	28	25
CGI_10023956	13	33	21	33
CGI_10003086	9	29	26	37
CGI_10021989	7	35	14	44
CGI_10017976	18	29	26	28
CGI_10017773	17	24	33	26
CGI_10020984	9	48	15	28
CGI_10001808	22	39	23	16
CGI_10013486	15	37	22	26
CGI_10022387	13	40	16	31
CGI_10022388	13	40	16	31
CGI_10011587	17	32	22	29
CGI_10000462	8	36	22	34
CGI_10020575	19	34	24	24
CGI_10003331	50	12	28	10
CGI_10016819	11	41	25	23
CGI_10027951	6	43	18	33
CGI_10008851	7	40	20	33
CGI_10003670	6	38	19	38
CGI_10006640	7	38	21	34
CGI_10012096	17	34	19	30
CGI_10016017	9	36	19	36
CGI_10028468	22	29	22	27
CGI_10013221	18	34	22	26
CGI_10008613	14	41	22	23
CGI_10027648	11	33	20	36
CGI_10006873	7	56	37	0
CGI_10000050	8	40	16	37
CGI_10010410	8	40	16	37
CGI_10004479	38	31	8	22
CGI_10026539	8	24	28	40
CGI_10016431	19	28	18	34
CGI_10017544	5	38	15	42
CGI_10019390	10	37	19	33
CGI_10006790	14	31	24	32
CGI_10024760	46	10	23	22
CGI_10023366	6	37	13	44
CGI_10012130	11	35	21	33
CGI_10011913	12	36	20	32
CGI_10000237	14	36	13	37
CGI_10010298	14	36	13	37
CGI_10017543	8	37	19	35
CGI_10002264	11	30	21	37
CGI_10016111	86	0	14	0
CGI_10012072	11	43	31	15
CGI_10018508	9	56	16	19
CGI_10007711	12	24	22	41
CGI_10016214	13	40	23	24
CGI_10017744	14	45	15	26
CGI_10001797	9	43	21	26
CGI_10007816	16	42	19	22
CGI_10021128	6	21	13	61
CGI_10014337	16	38	17	29
CGI_10023200	0	46	26	29
CGI_10028335	6	37	13	43
CGI_10023522	16	38	24	23
CGI_10007670	25	26	19	30
CGI_10011948	12	26	25	37
CGI_10020174	5	40	18	36
CGI_10011301	22	27	26	25
CGI_10021849	11	33	21	35
CGI_10004936	27	26	25	22
CGI_10020448	11	23	17	49
CGI_10022643	2	58	7	34
CGI_10008895	14	34	18	34
CGI_10027395	8	45	16	32
CGI_10026448	14	34	20	32
CGI_10012585	7	41	21	31
CGI_10027967	18	32	20	31
CGI_10003696	15	35	23	27
CGI_10014929	11	30	24	35
CGI_10016244	17	30	16	37
CGI_10009798	23	21	33	24
CGI_10015501	21	33	24	22
CGI_10012635	14	32	19	35
CGI_10010359	11	36	21	32
CGI_10010423	12	34	27	27
CGI_10012002	6	32	21	41
CGI_10025095	3	46	15	36
CGI_10024026	10	30	24	36
CGI_10005254	29	19	22	31
CGI_10000124	9	39	14	37
CGI_10026720	11	33	27	28
CGI_10024818	8	37	15	40
CGI_10008757	11	30	23	35
CGI_10025760	9	38	23	31
CGI_10012127	13	31	28	29
CGI_10007499	13	29	18	40
CGI_10024803	57	11	14	18
CGI_10014211	9	39	15	37
CGI_10017494	24	24	23	29
CGI_10007593	16	33	21	30
CGI_10008707	9	38	13	40
CGI_10015920	16	35	19	30
CGI_10018571	12	38	21	28
CGI_10018576	15	33	22	30
CGI_10014112	14	36	19	30
CGI_10012333	17	35	17	31
CGI_10016779	14	38	22	26
CGI_10006300	13	24	16	47
CGI_10011753	10	34	28	28
CGI_10027462	17	31	22	30
CGI_10021675	16	34	24	26
CGI_10014506	13	27	22	38
CGI_10027205	8	36	21	35
CGI_10016806	10	39	12	39
CGI_10011554	10	40	18	32
CGI_10022792	16	32	22	30
CGI_10026068	24	44	15	17
CGI_10016672	15	38	15	33
CGI_10011875	7	39	21	33
CGI_10020754	8	40	25	28
CGI_10000581	13	37	21	28
CGI_10023064	7	47	26	19
CGI_10016718	23	33	24	20
CGI_10023126	15	33	20	33
CGI_10025135	11	36	16	36
CGI_10016790	38	0	0	62
CGI_10010858	15	33	20	31
CGI_10022071	7	36	25	32
CGI_10007860	1	57	2	40
CGI_10028147	13	36	20	31
CGI_10021682	8	48	28	17
CGI_10023905	9	72	19	0
CGI_10013974	17	29	30	25
CGI_10022793	5	39	23	33
CGI_10022184	37	22	22	19
CGI_10012419	7	26	31	37
CGI_10004785	16	33	21	31
CGI_10005338	16	33	21	31
CGI_10018345	6	30	19	45
CGI_10028125	36	17	5	42
CGI_10006874	16	29	28	26
CGI_10017401	31	32	18	18
CGI_10022239	17	29	25	29
CGI_10008947	9	38	36	17
CGI_10006472	14	35	17	35
CGI_10015076	16	28	25	32
CGI_10017640	6	38	17	39
CGI_10000268	22	27	26	25
CGI_10016534	12	31	35	21
CGI_10016196	16	30	23	31
CGI_10026413	16	30	23	31
CGI_10010450	15	29	24	33
CGI_10010029	11	43	13	32
CGI_10003665	11	30	21	38
CGI_10018525	13	30	24	34
CGI_10009178	18	30	25	26
CGI_10013697	7	34	24	35
CGI_10017503	10	33	9	48
CGI_10006989	11	40	14	35
CGI_10000220	11	32	25	31
CGI_10025938	1	1	35	64
CGI_10010343	11	30	26	33
CGI_10017042	1	22	55	22
CGI_10020335	17	28	28	27
CGI_10024017	17	28	28	27
CGI_10010880	14	37	18	31
CGI_10004885	14	36	16	33
CGI_10006559	10	25	21	44
CGI_10015695	17	29	23	32
CGI_10022384	7	42	16	34
CGI_10022230	4	3	4	89
CGI_10024245	11	34	35	21
CGI_10026072	16	29	24	31
CGI_10022091	15	39	16	29
CGI_10000893	13	31	19	37
CGI_10028873	0	38	23	39
CGI_10025479	14	32	30	25
CGI_10014759	17	32	18	33
CGI_10025622	17	36	12	36
CGI_10001107	14	27	21	38
CGI_10012191	19	25	28	27
CGI_10013799	18	32	26	24
CGI_10008341	3	45	8	44
CGI_10006343	11	35	17	37
CGI_10002296	13	33	22	32
CGI_10000573	5	36	22	37
CGI_10006213	14	34	19	33
CGI_10017982	14	19	20	46
CGI_10013384	19	25	35	22
CGI_10028684	84	4	0	11
CGI_10004231	3	32	19	46
CGI_10023787	16	35	19	30
CGI_10021822	12	28	31	29
CGI_10016485	7	50	11	31
CGI_10009951	14	45	18	24
CGI_10005551	12	38	19	31
CGI_10025850	3	39	10	48
CGI_10004836	12	33	25	31
CGI_10025805	17	27	12	44
CGI_10010378	15	35	14	36
CGI_10004063	42	18	22	18
CGI_10026751	26	40	14	21
CGI_10013957	9	33	18	41
CGI_10006430	7	31	19	44
CGI_10003481	14	31	21	34
CGI_10010914	8	32	24	35
CGI_10007861	9	32	25	34
CGI_10000132	14	34	20	32
CGI_10021953	14	34	20	32
CGI_10017362	11	39	21	29
CGI_10013978	11	35	22	32
CGI_10002687	3	15	63	19
CGI_10004474	32	31	19	18
CGI_10018507	18	28	31	22
CGI_10004631	18	35	30	18
CGI_10014958	20	26	16	38
CGI_10015393	0	42	5	52
CGI_10000611	5	37	21	38
CGI_10024074	15	25	22	38
CGI_10025345	11	28	25	37
CGI_10000405	18	25	26	31
CGI_10020262	21	22	9	48
CGI_10012019	17	27	21	34
CGI_10013568	12	33	27	27
CGI_10008015	18	34	30	18
CGI_10020477	20	23	30	27
CGI_10021716	11	21	35	33
CGI_10001875	8	35	16	41
CGI_10024361	7	33	27	32
CGI_10026004	11	29	27	33
CGI_10019389	16	23	25	36
CGI_10028182	43	14	32	11
CGI_10008964	11	25	24	40
CGI_10007216	19	22	32	27
CGI_10017915	10	42	17	31
CGI_10017600	19	28	22	31
CGI_10011808	9	29	17	46
CGI_10000789	41	30	18	11
CGI_10009514	12	33	25	30
CGI_10014547	11	34	19	36
CGI_10018075	9	36	13	42
CGI_10021231	20	27	28	25
CGI_10007225	12	27	19	42
CGI_10019827	20	27	17	36
CGI_10010550	4	43	15	38
CGI_10009645	15	36	12	37
CGI_10006935	8	32	25	35
CGI_10002881	8	29	23	40
CGI_10026183	12	46	13	29
CGI_10020890	13	28	31	28
CGI_10012056	7	36	17	40
CGI_10009816	22	28	13	37
CGI_10012078	21	32	25	21
CGI_10008434	0	54	12	34
CGI_10010919	11	32	30	27
CGI_10006585	10	33	21	36
CGI_10014835	31	16	32	21
CGI_10028470	5	45	16	33
CGI_10019894	16	32	23	29
CGI_10003818	11	40	22	27
CGI_10008454	16	43	19	22
CGI_10009327	8	37	11	44
CGI_10017742	14	34	22	30
CGI_10023778	6	49	17	28
CGI_10027263	12	33	28	27
CGI_10003174	5	33	21	40
CGI_10013222	11	36	19	34
CGI_10026894	4	41	13	42
CGI_10015898	27	24	25	24
CGI_10007259	8	45	17	30
CGI_10004477	13	31	25	30
CGI_10013230	7	20	24	49
CGI_10028819	0	61	0	39
CGI_10020236	28	30	17	25
CGI_10025315	20	23	29	28
CGI_10001658	7	37	20	35
CGI_10023148	13	28	15	43
CGI_10021237	15	29	29	27
CGI_10009495	6	35	19	39
CGI_10003913	17	30	23	30
CGI_10007237	17	30	23	30
CGI_10003299	8	53	6	33
CGI_10005428	12	31	30	27
CGI_10024288	5	45	17	33
CGI_10015124	13	31	27	28
CGI_10022743	18	24	32	26
CGI_10013259	22	32	20	26
CGI_10016964	8	34	14	44
CGI_10005424	8	28	25	39
CGI_10007560	13	36	17	34
CGI_10008893	16	0	27	57
CGI_10008695	2	41	25	32
CGI_10016097	22	34	24	19
CGI_10018115	18	33	20	29
CGI_10003157	2	39	10	50
CGI_10018951	9	33	26	32
CGI_10025364	8	45	15	32
CGI_10021125	11	37	13	39
CGI_10025596	10	13	29	49
CGI_10016946	21	2	28	48
CGI_10027380	5	37	16	42
CGI_10012758	9	43	7	41
CGI_10018548	18	27	28	27
CGI_10025762	22	28	22	27
CGI_10023886	7	37	22	34
CGI_10021514	12	32	22	33
CGI_10003541	12	36	19	33
CGI_10006353	10	24	25	41
CGI_10026140	15	34	20	31
CGI_10014579	17	36	28	20
CGI_10023360	10	28	29	33
CGI_10014742	11	38	19	32
CGI_10002799	20	30	17	32
CGI_10012066	12	39	25	25
CGI_10000235	9	37	21	33
CGI_10024853	10	25	14	52
CGI_10008866	9	36	17	38
CGI_10010911	4	39	21	36
CGI_10003535	16	30	18	36
CGI_10009216	16	30	18	36
CGI_10015396	12	34	21	34
CGI_10028223	17	38	12	34
CGI_10026011	12	49	19	21
CGI_10021366	13	32	26	28
CGI_10005358	9	36	17	38
CGI_10020990	12	34	23	31
CGI_10006977	15	35	15	34
CGI_10014532	23	27	29	21
CGI_10023721	15	22	19	44
CGI_10017702	12	36	21	31
CGI_10015552	7	44	8	40
CGI_10024996	12	35	13	40
CGI_10023573	22	22	29	27
CGI_10007640	29	28	19	25
CGI_10028154	17	35	13	36
CGI_10027080	14	35	30	21
CGI_10004461	1	41	16	43
CGI_10026982	1	41	16	43
CGI_10016417	5	41	22	32
CGI_10020924	15	28	15	42
CGI_10011558	35	19	23	23
CGI_10011866	0	37	27	36
CGI_10023422	19	33	26	22
CGI_10011708	10	31	16	43
CGI_10005672	16	35	21	28
CGI_10004459	17	36	24	22
CGI_10022452	13	47	18	22
CGI_10023658	9	40	24	27
CGI_10023113	19	20	39	22
CGI_10016498	17	25	29	29
CGI_10003625	10	47	17	26
CGI_10015203	5	36	18	41
CGI_10019268	11	34	23	32
CGI_10000733	22	24	32	21
CGI_10009644	12	31	26	31
CGI_10028016	10	33	22	35
CGI_10025662	18	32	15	36
CGI_10007561	13	33	21	33
CGI_10005722	14	36	17	33
CGI_10010906	6	40	12	42
CGI_10000691	13	26	27	34
CGI_10006302	13	26	27	34
CGI_10014372	31	26	25	18
CGI_10013441	16	41	15	28
CGI_10008941	14	33	21	32
CGI_10001846	22	28	26	23
CGI_10010868	22	28	26	23
CGI_10027277	100	0	0	0
CGI_10027652	7	25	36	32
CGI_10013575	6	37	20	37
CGI_10025004	0	50	50	0
CGI_10021248	9	18	29	44
CGI_10024386	12	31	25	32
CGI_10016539	18	30	27	24
CGI_10020479	12	38	16	34
CGI_10013485	22	35	19	25
CGI_10020112	18	28	26	28
CGI_10024851	3	49	9	39
CGI_10026173	0	100	0	0
CGI_10019640	9	34	16	41
CGI_10027195	18	42	14	26
CGI_10011109	4	42	16	37
CGI_10018259	11	26	24	38
CGI_10023150	8	37	18	36
CGI_10003477	15	33	20	32
CGI_10013089	22	24	28	27
CGI_10016312	13	39	21	27
CGI_10002341	22	25	29	24
CGI_10013833	11	32	21	36
CGI_10014541	19	32	22	26
CGI_10025827	7	37	20	36
CGI_10020805	39	22	27	12
CGI_10010628	0	55	1	44
CGI_10019677	27	21	27	25
CGI_10002034	2	39	14	45
CGI_10008836	11	31	27	31
CGI_10016752	18	32	20	30
CGI_10017018	12	30	24	34
CGI_10026214	3	55	5	36
CGI_10022438	5	37	7	51
CGI_10021567	16	32	20	32
CGI_10025772	11	40	20	29
CGI_10015274	10	14	32	44
CGI_10002010	3	43	11	43
CGI_10012331	5	18	25	51
CGI_10001325	9	21	24	46
CGI_10019736	4	44	13	39
CGI_10010546	20	28	19	34
CGI_10025030	12	35	17	37
CGI_10028015	11	31	20	38
CGI_10010490	14	33	19	35
CGI_10014623	65	8	14	13
CGI_10020389	13	32	22	33
CGI_10023367	2	35	22	42
CGI_10026431	8	35	31	26
CGI_10007355	18	31	17	34
CGI_10009015	14	35	25	27
CGI_10022003	1	28	17	55
CGI_10022815	9	32	24	36
CGI_10011069	4	39	18	38
CGI_10006821	19	42	16	23
CGI_10027635	20	21	37	23
CGI_10001793	10	13	28	50
CGI_10023785	15	31	25	28
CGI_10010558	8	17	15	60
CGI_10021866	7	34	21	39
CGI_10022994	7	38	15	39
CGI_10024681	17	27	25	32
CGI_10013691	12	39	23	26
CGI_10009836	14	29	24	33
CGI_10013011	4	53	5	37
CGI_10025236	38	17	30	15
CGI_10006021	17	33	18	32
CGI_10018566	7	27	23	43
CGI_10013642	10	39	23	27
CGI_10010178	10	27	19	44
CGI_10021270	12	36	20	31
CGI_10018575	30	22	19	29
CGI_10016837	20	28	28	24
CGI_10027733	72	1	27	0
CGI_10008020	92	0	0	8
CGI_10024581	8	44	10	37
CGI_10026549	14	30	16	39
CGI_10004513	20	27	26	26
CGI_10018461	10	15	27	47
CGI_10010897	16	31	21	32
CGI_10018924	17	26	24	34
CGI_10004156	11	20	21	47
CGI_10023908	15	32	26	27
CGI_10015700	30	19	17	33
CGI_10025227	0	36	13	51
CGI_10015504	8	43	29	21
CGI_10021980	6	39	9	46
CGI_10028252	6	31	39	24
CGI_10005749	0	61	28	10
CGI_10010890	5	31	15	48
CGI_10028519	3	34	19	44
CGI_10022739	24	25	18	33
CGI_10023297	25	26	27	22
CGI_10018487	10	39	19	32
CGI_10010064	65	12	4	19
CGI_10008606	13	30	20	37
CGI_10026821	11	40	26	22
CGI_10008786	18	25	29	29
CGI_10023358	15	28	28	28
CGI_10016630	9	33	25	33
CGI_10013932	10	29	23	38
CGI_10002617	14	38	11	38
CGI_10002587	2	52	2	44
CGI_10003864	2	52	2	44
CGI_10026912	0	54	0	46
CGI_10026923	12	30	14	45
CGI_10019787	12	30	41	17
CGI_10022462	3	48	10	40
CGI_10026987	13	23	23	41
CGI_10010255	5	36	6	54
CGI_10019046	17	28	26	29
CGI_10010474	24	10	26	39
CGI_10019893	24	10	26	39
CGI_10022824	11	35	20	34
CGI_10017019	8	51	10	31
CGI_10022813	15	32	25	28
CGI_10024463	10	34	22	34
CGI_10006535	14	47	26	13
CGI_10009415	19	32	24	25
CGI_10020307	19	32	24	25
CGI_10023346	8	38	15	39
CGI_10017917	11	39	25	25
CGI_10012117	24	24	26	25
CGI_10006574	14	28	20	38
CGI_10020488	14	28	20	38
CGI_10021010	33	5	36	26
CGI_10017980	31	36	5	28
CGI_10018595	17	23	28	31
CGI_10020559	7	47	10	35
CGI_10025025	20	28	22	30
CGI_10010165	16	31	21	31
CGI_10021262	12	31	25	32
CGI_10020544	2	48	17	33
CGI_10018517	8	30	39	23
CGI_10000954	17	26	22	35
CGI_10027230	0	62	0	37
CGI_10017455	13	31	16	40
CGI_10016020	16	26	26	32
CGI_10028894	32	27	16	24
CGI_10012025	21	34	18	27
CGI_10024321	10	30	18	42
CGI_10000052	28	43	14	15
CGI_10012490	28	43	14	15
CGI_10022190	13	32	29	26
CGI_10004867	89	0	11	0
CGI_10027825	11	30	35	24
CGI_10004013	17	29	25	29
CGI_10004181	9	36	28	26
CGI_10009222	12	30	22	37
CGI_10019126	1	41	17	41
CGI_10006511	15	34	23	27
CGI_10023081	3	50	6	41
CGI_10013849	12	35	18	34
CGI_10016569	0	41	23	35
CGI_10026576	3	43	16	38
CGI_10000935	19	27	31	23
CGI_10012061	19	27	31	23
CGI_10012093	17	27	13	44
CGI_10020502	11	36	22	32
CGI_10011748	15	33	24	29
CGI_10004288	24	28	25	23
CGI_10000421	13	28	28	32
CGI_10027156	13	28	28	32
CGI_10000591	8	43	17	33
CGI_10011744	8	33	13	46
CGI_10010367	33	11	53	3
CGI_10017205	15	41	22	22
CGI_10007399	14	31	28	27
CGI_10010014	48	12	24	16
CGI_10016146	9	39	18	35
CGI_10000147	0	59	0	41
CGI_10024287	0	59	0	41
CGI_10022397	2	44	18	35
CGI_10019857	2	38	24	36
CGI_10024439	3	94	2	0
CGI_10019235	47	13	22	18
CGI_10024975	6	39	22	34
CGI_10028666	15	36	23	26
CGI_10022383	1	45	14	39
CGI_10013847	11	46	15	28
CGI_10022832	3	56	17	24
CGI_10023895	27	29	25	19
CGI_10026246	27	29	25	19
CGI_10003051	18	30	23	29
CGI_10027762	12	30	12	45
CGI_10009583	34	24	37	4
CGI_10012473	9	57	7	27
CGI_10027418	10	40	22	28
CGI_10006952	15	34	19	32
CGI_10006539	2	31	26	40
CGI_10022030	2	31	26	40
CGI_10022557	6	32	24	38
CGI_10002798	6	40	21	33
CGI_10002289	1	33	18	49
CGI_10019712	6	36	20	38
CGI_10017418	12	37	20	31
CGI_10021865	5	56	9	30
CGI_10002698	26	24	28	22
CGI_10023300	23	24	38	15
CGI_10009103	19	26	30	25
CGI_10012084	1	59	5	35
CGI_10002812	31	16	29	24
CGI_10013707	18	29	25	28
CGI_10018421	12	32	25	30
CGI_10027383	10	21	1	68
CGI_10001936	6	41	18	34
CGI_10010784	12	42	16	30
CGI_10026892	14	34	22	30
CGI_10006322	19	31	24	25
CGI_10024442	11	47	14	28
CGI_10023726	20	25	43	12
CGI_10005310	41	19	7	33
CGI_10001170	12	38	17	33
CGI_10010244	94	3	2	1
CGI_10016883	35	17	34	14
CGI_10025330	6	44	17	33
CGI_10016397	9	46	16	29
CGI_10009121	7	29	30	34
CGI_10019373	5	36	12	47
CGI_10021978	6	43	10	41
CGI_10006375	57	16	23	4
CGI_10022984	38	25	17	20
CGI_10004246	39	27	10	25
CGI_10015208	86	8	2	5
CGI_10024033	8	36	23	33
CGI_10005902	15	29	19	36
CGI_10019931	9	29	13	50
CGI_10023395	15	32	20	33
CGI_10023566	13	27	25	35
CGI_10020496	81	11	0	8
CGI_10020498	81	11	0	8
CGI_10011428	87	12	0	1
CGI_10027360	16	31	23	30
CGI_10010435	8	24	17	51
CGI_10003546	20	33	19	28
CGI_10015644	3	40	15	42
CGI_10013042	11	43	14	32
CGI_10022740	7	42	13	38
CGI_10003721	16	23	21	40
CGI_10025078	8	27	23	42
CGI_10003622	8	32	21	39
CGI_10023775	9	42	19	31
CGI_10012997	2	42	23	34
CGI_10009693	15	35	21	29
CGI_10012206	23	26	27	23
CGI_10018475	9	31	28	32
CGI_10007563	8	41	17	34
CGI_10016469	6	33	14	47
CGI_10021635	15	35	20	30
CGI_10005879	6	37	12	45
CGI_10004436	20	26	24	31
CGI_10009281	10	18	25	47
CGI_10023437	0	87	0	13
CGI_10015970	11	30	19	40
CGI_10014090	12	26	27	35
CGI_10011782	22	37	23	17
CGI_10009320	0	100	0	0
CGI_10008929	11	59	17	13
CGI_10011129	15	29	27	29
CGI_10009826	67	15	9	10
CGI_10015841	67	15	9	10
CGI_10023377	15	46	36	3
CGI_10009786	17	29	25	30
CGI_10014207	16	37	17	30
CGI_10027107	15	19	53	13
CGI_10004518	10	35	19	36
CGI_10001126	20	46	9	24
CGI_10016777	14	34	25	26
CGI_10025812	4	43	20	34
CGI_10001190	15	44	19	23
CGI_10024984	5	52	10	32
CGI_10014753	14	33	20	33
CGI_10025942	26	20	21	33
CGI_10014801	10	36	22	32
CGI_10020564	19	21	30	30
CGI_10022237	11	34	19	36
CGI_10013086	11	32	10	47
CGI_10027842	10	29	19	41
CGI_10021851	7	40	23	30
CGI_10013287	14	21	20	44
CGI_10000418	0	52	12	36
CGI_10011007	20	35	17	28
CGI_10008268	14	30	25	31
CGI_10019917	14	30	25	31
CGI_10028140	26	17	23	33
CGI_10026252	25	23	13	39
CGI_10006290	10	28	16	46
CGI_10027681	18	26	26	29
CGI_10026602	23	31	28	18
CGI_10011431	28	28	20	24
CGI_10011089	10	32	21	36
CGI_10019443	20	17	25	38
CGI_10014723	12	35	25	28
CGI_10019480	10	29	21	40
CGI_10020318	19	31	17	33
CGI_10004733	1	38	9	52
CGI_10013933	15	35	18	32
CGI_10025006	2	35	18	45
CGI_10013631	6	23	40	31
CGI_10008977	4	48	10	38
CGI_10007210	30	21	17	33
CGI_10007140	17	22	32	30
CGI_10011211	8	33	15	44
CGI_10004681	8	38	23	30
CGI_10026143	6	33	14	47
CGI_10019252	17	29	18	36
CGI_10020792	4	59	8	29
CGI_10021955	11	31	19	39
CGI_10020648	2	43	3	51
CGI_10003556	0	31	37	32
CGI_10022145	0	31	37	32
CGI_10011975	4	32	33	31
CGI_10014270	32	41	22	5
CGI_10020769	3	43	12	42
CGI_10013200	3	27	16	54
CGI_10004914	13	28	22	37
CGI_10024921	13	31	25	32
CGI_10002842	2	40	19	40
CGI_10003507	2	40	19	40
CGI_10004811	16	34	24	26
CGI_10000869	11	30	35	23
CGI_10017662	11	30	35	23
CGI_10005983	8	17	37	38
CGI_10003633	16	23	30	31
CGI_10025949	9	49	11	31
CGI_10004090	3	49	5	44
CGI_10019609	2	42	20	36
CGI_10027757	17	27	26	29
CGI_10018989	8	7	34	51
CGI_10009528	8	34	18	40
CGI_10022092	11	43	13	32
CGI_10006320	27	33	18	22
CGI_10012845	9	28	26	37
CGI_10016583	2	43	13	42
CGI_10011086	3	41	13	42
CGI_10010758	31	24	15	30
CGI_10008811	15	24	22	38
CGI_10019269	22	35	24	19
CGI_10008470	12	37	16	36
CGI_10006854	16	32	21	31
CGI_10018015	17	34	21	28
CGI_10023702	16	39	11	34
CGI_10011064	29	27	13	31
CGI_10025908	16	19	26	39
CGI_10019241	19	24	28	29
CGI_10022272	13	29	20	38
CGI_10022356	7	38	11	44
CGI_10002568	28	30	23	19
CGI_10018331	13	31	26	30
CGI_10013612	14	35	18	33
CGI_10025690	8	17	59	16
CGI_10017858	19	30	15	35
CGI_10026843	30	11	30	29
CGI_10010732	17	28	22	33
CGI_10007935	28	31	15	26
CGI_10027756	19	20	29	31
CGI_10015574	24	36	16	25
CGI_10000995	17	57	24	2
CGI_10020412	11	32	18	39
CGI_10012428	12	31	19	38
CGI_10007908	2	53	15	30
CGI_10023898	9	41	14	36
CGI_10007549	10	40	16	34
CGI_10021599	10	40	16	34
CGI_10025647	12	33	19	36
CGI_10012647	10	26	39	25
CGI_10027104	14	12	44	30
CGI_10008724	19	35	18	28
CGI_10026682	9	35	11	45
CGI_10006107	14	36	21	29
CGI_10000975	26	27	27	20
CGI_10024845	12	63	16	9
CGI_10006796	11	33	27	28
CGI_10024826	15	37	19	28
CGI_10025218	29	26	22	22
CGI_10021984	13	34	23	30
CGI_10020446	7	46	13	34
CGI_10006179	20	31	20	29
CGI_10007555	73	16	4	6
CGI_10016770	17	34	24	24
CGI_10004932	18	33	15	34
CGI_10021005	19	23	21	37
CGI_10012550	34	43	7	16
CGI_10026955	8	34	22	36
CGI_10013726	7	39	17	37
CGI_10017198	9	34	16	41
CGI_10009756	9	26	15	50
CGI_10018347	20	33	22	24
CGI_10005959	0	51	8	41
CGI_10012684	3	40	12	45
CGI_10004517	9	36	18	37
CGI_10007879	9	36	18	37
CGI_10008240	3	42	10	45
CGI_10021895	21	21	24	35
CGI_10014712	8	47	44	0
CGI_10028102	3	59	35	3
CGI_10012370	8	39	14	39
CGI_10002849	20	23	29	28
CGI_10015669	20	23	29	28
CGI_10016411	20	23	29	28
CGI_10028130	20	23	29	28
CGI_10005252	4	10	34	52
CGI_10012882	4	43	4	49
CGI_10016232	10	38	18	33
CGI_10002719	18	21	40	22
CGI_10024666	2	33	34	30
CGI_10022646	10	35	19	36
CGI_10022647	10	35	19	36
CGI_10022648	10	35	19	36
CGI_10006924	7	33	25	36
CGI_10004915	7	39	23	30
CGI_10009690	6	26	14	54
CGI_10028123	18	31	22	29
CGI_10020463	17	9	44	29
CGI_10020214	15	28	28	30
CGI_10027754	6	32	28	34
CGI_10026145	5	62	12	21
CGI_10023706	47	29	12	12
CGI_10028283	14	25	31	30
CGI_10026671	20	25	27	28
CGI_10016307	5	23	8	64
CGI_10025165	19	34	21	27
CGI_10010632	1	38	26	35
CGI_10015243	8	35	9	49
CGI_10005003	13	32	16	39
CGI_10007103	2	49	33	16
CGI_10015539	6	44	17	33
CGI_10007020	8	15	58	20
CGI_10005083	5	35	12	47
CGI_10013119	17	22	25	36
CGI_10024518	10	36	19	35
CGI_10007397	0	79	0	21
CGI_10022223	13	34	21	33
CGI_10011801	19	34	14	34
CGI_10014985	40	24	17	19
CGI_10010629	3	55	4	38
CGI_10008928	28	38	17	17
CGI_10006360	7	36	18	39
CGI_10006174	0	39	16	44
CGI_10019003	13	33	17	37
CGI_10024707	10	32	19	40
CGI_10018447	11	46	4	38
CGI_10015514	29	22	32	17
CGI_10018107	7	36	16	41
CGI_10017174	14	31	22	33
CGI_10021410	12	35	22	31
CGI_10009931	10	40	15	35
CGI_10003999	18	33	28	21
CGI_10016543	13	29	20	38
CGI_10002628	5	42	20	33
CGI_10006487	6	46	25	23
CGI_10001650	7	38	25	30
CGI_10015332	100	0	0	0
CGI_10010123	9	36	22	33
CGI_10024081	14	29	20	37
CGI_10027328	19	39	20	22
CGI_10021602	49	10	33	8
CGI_10019267	17	38	21	25
CGI_10006329	7	44	3	46
CGI_10013882	9	42	12	37
CGI_10020431	5	65	8	22
CGI_10024846	8	34	21	38
CGI_10007814	29	34	34	3
CGI_10020816	10	32	15	43
CGI_10008468	44	3	39	14
CGI_10010851	16	37	13	34
CGI_10026129	11	34	21	34
CGI_10002394	1	1	96	2
CGI_10005470	15	31	24	30
CGI_10022399	15	27	24	34
CGI_10010443	20	39	16	25
CGI_10000350	22	24	28	26
CGI_10021103	22	24	28	26
CGI_10001102	22	24	28	26
