CHOYP_SMP_194720.1.1|m.53496
CHOYP_LOC100535066.1.2|m.15640
CHOYP_LOC100369745.1.1|m.18815
CHOYP_RUVB1.1.1|m.25669
CHOYP_LOC100378252.1.1|m.16877
CHOYP_PP6R3.1.1|m.43072
CHOYP_DVIR_GJ11008.1.1|m.11917
CHOYP_LOC732900.1.1|m.62814
CHOYP_PRP6.2.2|m.34365
CHOYP_LOC100180023.1.7|m.11060
CHOYP_LOC575203.2.6|m.6856
CHOYP_AGAP_AGAP007120.1.1|m.57542
CHOYP_BRAFLDRAFT_125119.1.1|m.57550
CHOYP_MGC89016.1.2|m.76
CHOYP_NUCL.2.2|m.21719
CHOYP_U5S1.1.1|m.49230
CHOYP_BT3L4.1.1|m.2144
CHOYP_NEMVEDRAFT_V1G234225.1.1|m.49490
CHOYP_TRIADDRAFT_55768.2.2|m.14361
CHOYP_IPO7.1.1|m.16806
CHOYP_LOC100377783.1.1|m.14549
CHOYP_PHUM_PHUM066670.2.3|m.42178
CHOYP_MYSP.1.9|m.1097
CHOYP_LOC100876515.2.2|m.54514
CHOYP_SEC23B.1.1|m.12147
CHOYP_NR1AA.1.1|m.39226
CHOYP_LOC100377054.1.1|m.8489
CHOYP_TPM.6.19|m.12415
CHOYP_RL24.6.9|m.43123
CHOYP_contig_045248|m.52574
CHOYP_TXND3.4.4|m.64014
CHOYP_LOC100371695.1.1|m.10063
CHOYP_VATB.1.2|m.33785
CHOYP_LOC100367726.1.2|m.47322
CHOYP_ACSL1.1.1|m.685
CHOYP_LOC590971.1.1|m.30661
CHOYP_LOC100646535.1.1|m.61774
CHOYP_CTTN.1.1|m.22042
CHOYP_RLA1.3.12|m.12071
CHOYP_LOC100727208.1.1|m.9366
CHOYP_MCM3.1.1|m.14853
CHOYP_MDHC.1.1|m.57053
CHOYP_SAP.1.2|m.13958
CHOYP_SC31A.1.2|m.8240
CHOYP_DLDH.1.1|m.31018
CHOYP_LOC100533387.1.1|m.56131
CHOYP_LOC100366708.1.1|m.19335
CHOYP_BRAFLDRAFT_124069.1.1|m.14145
CHOYP_PSMD2.3.3|m.59658
CHOYP_LOC100376708.2.2|m.19660
CHOYP_BRAFLDRAFT_63907.1.1|m.14584
CHOYP_CTL2.1.2|m.3858
CHOYP_CLU.1.1|m.8566
CHOYP_LOC100538313.1.1|m.64152
CHOYP_QCR2.1.1|m.35612
CHOYP_RS32.1.1|m.57158
CHOYP_NEMVEDRAFT_V1G140878.1.1|m.18069
CHOYP_SRC.1.2|m.2503
CHOYP_TENS3.3.4|m.52970
CHOYP_FCL.1.1|m.13504
CHOYP_UCHL.1.1|m.29303
CHOYP_PPP1CC.1.1|m.13937
CHOYP_LOC100369524.1.1|m.8159
CHOYP_DNJA2.2.2|m.51791
CHOYP_BRAFLDRAFT_217516.1.1|m.18628
CHOYP_LOC101173335.4.4|m.49816
CHOYP_BRAFLDRAFT_117612.1.1|m.28286
CHOYP_AAEL_AAEL011527.1.1|m.20909
CHOYP_BRAFLDRAFT_117068.1.1|m.36193
CHOYP_LOC100370552.2.2|m.59438
CHOYP_LOC100368695.1.1|m.26746
CHOYP_BRAFLDRAFT_119799.1.1|m.23765
CHOYP_LOC100123216.1.1|m.28671
CHOYP_CO6A5.1.6|m.5840
CHOYP_SAFB2.2.3|m.30765
CHOYP_LRIG1.1.3|m.954
CHOYP_NUCL.1.2|m.19135
CHOYP_LOC100378221.1.1|m.29052
CHOYP_TNNC.1.1|m.66691
CHOYP_LOC100115577.1.1|m.21791
CHOYP_LOC100636433.3.4|m.27077
CHOYP_BRAFLDRAFT_121562.1.1|m.37268
