PROTID	sample 27
CHOYP_PDIA6.1.2|m.9012	52
CHOYP_PGK1.1.1|m.27254	52
CHOYP_RS3A.4.15|m.15367	52
CHOYP_EIF3B.1.1|m.12232	52
CHOYP_SBP1.1.2|m.2083	52
CHOYP_LOC576511.1.1|m.53180	51
CHOYP_LOC100371677.1.1|m.122	51
CHOYP_ENPL.4.4|m.47194	51
CHOYP_RL4.2.6|m.4481	51
CHOYP_BRAFLDRAFT_124476.1.4|m.1812	51
CHOYP_BRAFLDRAFT_92024.1.1|m.49813	51
CHOYP_LOC100373956.1.1|m.10987	51
CHOYP_PHUM_PHUM500930.1.1|m.21562	51
CHOYP_TAGL3.1.1|m.31031	50
CHOYP_CISY.1.1|m.36666	50
CHOYP_LOC100377034.1.1|m.6251	50
CHOYP_BRAFLDRAFT_228853.1.1|m.9833	50
CHOYP_ME3.1.1|m.58433	50
CHOYP_ARP3.1.1|m.6867	50
CHOYP_LOC101072646.1.1|m.8800	50
CHOYP_LOC661043.1.1|m.11553	50
CHOYP_MDHM.1.1|m.43603	49
CHOYP_C1TC.1.1|m.28294	49
CHOYP_SMP_078690.5.5|m.64878	49
CHOYP_BRAFLDRAFT_123741.1.1|m.31088	49
CHOYP_PPUTW619_2764.1.1|m.44946	49
CHOYP_LOC101171340.1.1|m.29474	49
CHOYP_LOC587133.1.1|m.61281	48
CHOYP_MTR_027S0011.1.1|m.29241	48
CHOYP_CYIIB.2.2|m.64544	48
CHOYP_DWIL_GK25045.1.2|m.9225	48
CHOYP_LOC656867.1.1|m.28658	48
CHOYP_BRAFLDRAFT_102424.4.6|m.51652	48
CHOYP_NRP.4.4|m.44647	48
CHOYP_BRAFLDRAFT_266781.1.2|m.24880	48
CHOYP_TBA3.1.1|m.5111	48
CHOYP_COPD.1.1|m.37389	48
CHOYP_HYOU1.2.3|m.12568	48
CHOYP_LOC100371249.1.1|m.63117	48
CHOYP_TBB2.1.2|m.45096	48
CHOYP_LMNB2.1.1|m.55999	47
CHOYP_BRAFLDRAFT_66627.1.1|m.40620	47
CHOYP_DLAT.1.1|m.64812	47
CHOYP_LOC658895.1.1|m.20262	47
CHOYP_BRAFLDRAFT_91441.1.1|m.47971	47
CHOYP_ISCW_ISCW003477.1.1|m.37800	47
CHOYP_THOP1.1.1|m.18269	47
CHOYP_ACAA2.1.1|m.30666	46
CHOYP_LOC100699093.1.1|m.20134	46
CHOYP_UGGG1.1.1|m.59266	46
CHOYP_SF3B3.1.1|m.45473	46
CHOYP_LOC594665.1.1|m.8449	46
CHOYP_LOC584281.1.1|m.34958	46
CHOYP_LOC100636340.1.4|m.5143	46
CHOYP_TVAG_355490.15.22|m.47579	46
CHOYP_BRAFLDRAFT_203026.1.1|m.61263	45
CHOYP_DGRI_GH15313.1.1|m.5763	45
CHOYP_K6PF.1.1|m.46882	45
CHOYP_PHUM_PHUM477850.1.1|m.19067	45
CHOYP_NEMVEDRAFT_V1G230495.1.1|m.61211	45
CHOYP_GPDA.2.2|m.30755	45
CHOYP_BRAFLDRAFT_125234.2.2|m.19033	45
CHOYP_FLNA.2.6|m.11845	44
CHOYP_BRAFLDRAFT_118602.2.5|m.17419	44
CHOYP_BRAFLDRAFT_125327.1.1|m.29699	44
CHOYP_SYTC.1.1|m.35709	44
CHOYP_LOC100164899.1.1|m.59665	44
CHOYP_LOC100175959.4.7|m.28172	44
CHOYP_SMP_194720.1.1|m.53496	44
CHOYP_LOC100535066.1.2|m.15640	44
CHOYP_LOC100369745.1.1|m.18815	44
CHOYP_RUVB1.1.1|m.25669	44
CHOYP_LOC100378252.1.1|m.16877	44
CHOYP_PP6R3.1.1|m.43072	44
CHOYP_DVIR_GJ11008.1.1|m.11917	44
CHOYP_LOC732900.1.1|m.62814	44
CHOYP_PRP6.2.2|m.34365	44
CHOYP_LOC100180023.1.7|m.11060	43
CHOYP_LOC575203.2.6|m.6856	43
CHOYP_AGAP_AGAP007120.1.1|m.57542	43
CHOYP_BRAFLDRAFT_125119.1.1|m.57550	43
CHOYP_MGC89016.1.2|m.76	43
CHOYP_NUCL.2.2|m.21719	43
CHOYP_U5S1.1.1|m.49230	43
CHOYP_BT3L4.1.1|m.2144	43
CHOYP_NEMVEDRAFT_V1G234225.1.1|m.49490	43
CHOYP_TRIADDRAFT_55768.2.2|m.14361	43
CHOYP_IPO7.1.1|m.16806	43
CHOYP_LOC100377783.1.1|m.14549	43
CHOYP_PHUM_PHUM066670.2.3|m.42178	43
CHOYP_MYSP.1.9|m.1097	42
CHOYP_LOC100876515.2.2|m.54514	42
CHOYP_SEC23B.1.1|m.12147	42
CHOYP_NR1AA.1.1|m.39226	42
CHOYP_LOC100377054.1.1|m.8489	42
CHOYP_TPM.6.19|m.12415	42
CHOYP_RL24.6.9|m.43123	42
CHOYP_contig_045248|m.52574	42
CHOYP_TXND3.4.4|m.64014	42
CHOYP_LOC100371695.1.1|m.10063	41
CHOYP_VATB.1.2|m.33785	41
CHOYP_LOC100367726.1.2|m.47322	41
CHOYP_ACSL1.1.1|m.685	41
CHOYP_LOC590971.1.1|m.30661	41
CHOYP_LOC100646535.1.1|m.61774	41
CHOYP_CTTN.1.1|m.22042	41
CHOYP_RLA1.3.12|m.12071	41
CHOYP_LOC100727208.1.1|m.9366	41
CHOYP_MCM3.1.1|m.14853	41
CHOYP_MDHC.1.1|m.57053	40
CHOYP_SAP.1.2|m.13958	40
CHOYP_SC31A.1.2|m.8240	40
CHOYP_DLDH.1.1|m.31018	40
CHOYP_LOC100533387.1.1|m.56131	40
CHOYP_LOC100366708.1.1|m.19335	40
CHOYP_BRAFLDRAFT_124069.1.1|m.14145	40
CHOYP_PSMD2.3.3|m.59658	40
CHOYP_LOC100376708.2.2|m.19660	40
CHOYP_BRAFLDRAFT_63907.1.1|m.14584	40
CHOYP_CTL2.1.2|m.3858	40
CHOYP_CLU.1.1|m.8566	40
CHOYP_LOC100538313.1.1|m.64152	40
CHOYP_QCR2.1.1|m.35612	40
CHOYP_RS32.1.1|m.57158	40
CHOYP_NEMVEDRAFT_V1G140878.1.1|m.18069	39
CHOYP_SRC.1.2|m.2503	39
CHOYP_TENS3.3.4|m.52970	39
CHOYP_FCL.1.1|m.13504	39
CHOYP_UCHL.1.1|m.29303	39
CHOYP_PPP1CC.1.1|m.13937	39
CHOYP_LOC100369524.1.1|m.8159	39
CHOYP_DNJA2.2.2|m.51791	39
CHOYP_BRAFLDRAFT_217516.1.1|m.18628	39
CHOYP_LOC101173335.4.4|m.49816	39
CHOYP_BRAFLDRAFT_117612.1.1|m.28286	39
CHOYP_AAEL_AAEL011527.1.1|m.20909	39
CHOYP_BRAFLDRAFT_117068.1.1|m.36193	39
CHOYP_LOC100370552.2.2|m.59438	38
CHOYP_LOC100368695.1.1|m.26746	38
CHOYP_BRAFLDRAFT_119799.1.1|m.23765	38
CHOYP_LOC100123216.1.1|m.28671	38
CHOYP_CO6A5.1.6|m.5840	38
CHOYP_SAFB2.2.3|m.30765	38
CHOYP_LRIG1.1.3|m.954	38
CHOYP_NUCL.1.2|m.19135	38
CHOYP_LOC100378221.1.1|m.29052	37
CHOYP_TNNC.1.1|m.66691	37
CHOYP_LOC100115577.1.1|m.21791	37
CHOYP_LOC100636433.3.4|m.27077	37
CHOYP_BRAFLDRAFT_121562.1.1|m.37268	37
CHOYP_RS2.2.10|m.5562	37
CHOYP_OLA1.2.2|m.28588	37
CHOYP_BRAFLDRAFT_273832.1.1|m.56325	37
CHOYP_RS6.10.12|m.44863	37
CHOYP_PHUM_PHUM536560.2.2|m.59367	37
CHOYP_AP2A2.1.1|m.62726	37
CHOYP_RL17.7.7|m.57535	37
CHOYP_BRAFLDRAFT_271463.1.1|m.62869	37
CHOYP_EIF4BB.1.1|m.51066	37
CHOYP_contig_043238|m.49940	37
CHOYP_LOC659512.1.4|m.6122	37
CHOYP_NEMVEDRAFT_V1G204928.2.2|m.27972	37
